Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,League,Home_Form_Points,Home_Form_GoalsFor,Home_Form_GoalsAgainst,Away_Form_Points,Away_Form_GoalsFor,Away_Form_GoalsAgainst,Home_Elo,Away_Elo,H2H_HomeWinRate,H2H_Meetings
2020-09-20,Genoa,Crotone,4,1,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Sassuolo,Cagliari,1,1,D,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Nice,Paris SG,0,3,A,Ligue1_2020-21,Ligue 1,2.0,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1511.691797426144,1487.5499624535075,0.5,0
2020-09-20,Strasbourg,Dijon,1,0,H,Ligue1_2020-21,Ligue 1,0.0,0.3333333333333333,2.3333333333333335,0.0,0.3333333333333333,2.3333333333333335,1473.887053389892,1467.5308023009131,0.5,0
2020-09-20,Metz,Reims,2,1,H,Ligue1_2020-21,Ligue 1,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1473.3211210144973,1482.9096273330892,0.5,0
2020-09-20,Montpellier,Angers,4,1,H,Ligue1_2020-21,Ligue 1,2.0,2.0,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1508.2355384861762,1506.5340261913436,0.5,0
2020-09-20,Wolfsburg,Leverkusen,0,0,D,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Brest,Lorient,3,2,H,Ligue1_2020-21,Ligue 1,1.0,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,2.0,1492.997139291437,1487.0168663727916,0.5,0
2020-09-20,Juventus,Sampdoria,3,0,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Chelsea,Liverpool,0,2,A,PL_2020-21,Premier League,3.0,3.0,1.0,3.0,4.0,3.0,1512.8012999960577,1507.1987000039423,0.5,0
2020-09-20,Granada,Alaves,2,1,H,LaLiga_2020-21,La Liga,3.0,2.0,0.0,0.0,0.0,1.0,1507.1987000039423,1487.1987000039423,0.5,0
2020-09-20,Southampton,Tottenham,2,5,A,PL_2020-21,Premier League,0.0,0.0,1.0,0.0,0.0,1.0,1492.8012999960577,1487.1987000039423,0.5,0
2020-09-20,Betis,Valladolid,2,0,H,LaLiga_2020-21,La Liga,3.0,1.0,0.0,1.0,1.0,1.0,1512.8012999960577,1497.1987000039423,0.5,0
2020-09-20,Sociedad,Real Madrid,0,0,D,LaLiga_2020-21,La Liga,1.0,1.0,1.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1502.8012999960577,1500.0,0.5,0
2020-09-20,Huesca,Cadiz,0,2,A,LaLiga_2020-21,La Liga,1.0,1.0,1.0,0.0,0.0,2.0,1502.8012999960577,1487.1987000039423,0.5,0
2020-09-20,Newcastle,Brighton,0,3,A,PL_2020-21,Premier League,3.0,2.0,0.0,0.0,1.0,3.0,1512.8012999960577,1487.1987000039423,0.5,0
2020-09-20,Marseille,Lille,1,1,D,Ligue1_2020-21,Ligue 1,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,1511.782076548001,1516.7479458493501,0.5,0
2020-09-20,RB Leipzig,Mainz,3,1,H,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Nantes,St Etienne,2,2,D,Ligue1_2020-21,Ligue 1,1.3333333333333333,1.0,1.0,3.0,2.0,0.0,1502.9172057496985,1526.9797399238803,0.5,0
2020-09-20,Parma,Napoli,0,2,A,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-21,Milan,Bologna,2,0,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-21,Wolves,Man City,1,3,A,PL_2020-21,Premier League,3.0,2.0,0.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1512.8012999960577,1500.0,0.5,0
2020-09-21,Aston Villa,Sheffield United,1,0,H,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,0.0,0.0,2.0,1500.0,1487.1987000039423,0.5,0
2020-09-25,Lille,Nantes,2,0,H,Ligue1_2020-21,Ligue 1,2.0,1.0,0.5,1.25,1.25,1.25,1519.417012252638,1500.7657009630152,0.5,0
2020-09-25,Hertha,Ein Frankfurt,1,3,A,Bundesliga_2020-21,Bundesliga,3.0,4.0,1.0,1.0,1.0,1.0,1512.8012999960577,1497.1987000039423,0.5,0
2020-09-26,Schalke 04,Werder Bremen,1,3,A,Bundesliga_2020-21,Bundesliga,0.0,0.0,8.0,0.0,1.0,4.0,1492.8012999960577,1487.1987000039423,0.5,0
2020-09-26,Valencia,Huesca,1,1,D,LaLiga_2020-21,La Liga,1.5,2.5,2.0,0.5,0.5,1.5,1499.8829560165664,1489.59157410193,0.5,0
2020-09-26,M'gladbach,Union Berlin,1,1,D,Bundesliga_2020-21,Bundesliga,0.0,0.0,3.0,0.0,1.0,3.0,1492.8012999960577,1487.1987000039423,0.5,0
2020-09-26,St Etienne,Rennes,0,3,A,Ligue1_2020-21,Ligue 1,2.5,2.0,0.5,2.5,2.25,1.25,1529.1312447105636,1529.5204586563716,0.5,0
2020-09-26,Marseille,Metz,1,1,D,Ligue1_2020-21,Ligue 1,1.75,1.25,1.25,0.75,0.5,1.0,1509.1130101447131,1480.77605946543,0.5,0
2020-09-26,Torino,Atalanta,2,4,A,SerieA_2020-21,Serie A,0.0,0.0,1.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1492.8012999960577,1500.0,0.5,0
2020-09-26,Cagliari,Lazio,0,2,A,SerieA_2020-21,Serie A,1.0,1.0,1.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1502.8012999960577,1500.0,0.5,0
2020-09-26,Betis,Real Madrid,2,3,A,LaLiga_2020-21,La Liga,3.0,1.5,0.0,1.0,0.0,0.0,1519.59157410193,1502.8754317506314,0.5,0
2020-09-26,Elche,Sociedad,0,3,A,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.0,0.5,0.5,1500.0,1499.9258682454263,0.5,0
2020-09-26,Alaves,Getafe,0,0,D,LaLiga_2020-21,La Liga,0.0,0.5,1.5,3.0,1.0,0.0,1480.521488495605,1507.5416219209749,0.5,0
2020-09-26,West Brom,Chelsea,3,3,D,PL_2020-21,Premier League,0.0,1.0,4.0,1.5,1.5,1.5,1480.6641633125025,1499.8520794225028,0.5,0
2020-09-26,Burnley,Southampton,0,1,A,PL_2020-21,Premier League,0.0,2.0,4.0,0.0,1.0,3.0,1493.1372184859022,1479.8520794225028,0.5,0
2020-09-26,Augsburg,Dortmund,2,0,H,Bundesliga_2020-21,Bundesliga,3.0,3.0,1.0,3.0,3.0,0.0,1512.8012999960577,1507.1987000039423,0.5,0
